// Melia
// Database file
// 
// Class ID, Class Name, Name, Required Items, Reward Properties, Reward Account Properties, Reward Items
//---------------------------------------------------------------------------

[
{ classId: 101, className: "COLLECT_101", name: "Monster Specimen Set", requiredItems: ["misc_Tanu","misc_0112","misc_0113","misc_0035","misc_Caro","misc_Mentiwood"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 102, className: "COLLECT_102", name: "Ore Collection", requiredItems: ["misc_ore02","misc_ore03","misc_ore04","misc_ore07","misc_talt"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 103, className: "COLLECT_103", name: "Flower Collection", requiredItems: ["leaf_hanaming","misc_Tanu","misc_Denden"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 104, className: "COLLECT_104", name: "Bone Collection", requiredItems: ["misc_infroRocktor2","misc_glizardon","misc_Ultanun","misc_hogma_warrior2"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 105, className: "COLLECT_105", name: "Crystal Collection", requiredItems: ["misc_ellom2","misc_quartz_weaver3","misc_0046"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 106, className: "COLLECT_106", name: "Mausoleum Collection", requiredItems: ["misc_varv2","misc_Karas","misc_shtayim","misc_schlesien_guard","misc_schlesien_darkmage3"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 107, className: "COLLECT_107", name: "Cockatrice Collection", requiredItems: ["misc_Cockatries","misc_Cockatries2","misc_Big_Cockatries2","misc_0078"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 108, className: "COLLECT_108", name: "Demon Collection", requiredItems: ["misc_0014","misc_0026","misc_0105","misc_0076","misc_0081","misc_Sauga_s3"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 109, className: "COLLECT_109", name: "Tenet Church Collection", requiredItems: ["misc_Corylus","misc_glizardon2","misc_egnome2","misc_Spector_Gh","misc_0026"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 110, className: "COLLECT_110", name: "Ghost Collection", requiredItems: ["misc_banshee","misc_0077","misc_banshee_purple"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 111, className: "COLLECT_111", name: "Lv1 Card Collection", requiredItems: ["card_BiteRegina","card_Strongholder","card_necrovanter","card_Chapparition"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 112, className: "COLLECT_112", name: "Lv2 Card Collection", requiredItems: ["card_Moyabruka","card_Moldyhorn","card_Mothstem","card_chafer","card_molich"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 113, className: "COLLECT_113", name: "Lv3 Card Collection", requiredItems: ["card_ginklas","card_Iltiswort","card_Shnayim","card_Rajatoad","card_archon","card_Kerberos"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 114, className: "COLLECT_114", name: "Lv4 Card Collection", requiredItems: ["card_MagBurk","card_salamander","card_yonazolem","card_mineloader"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 115, className: "COLLECT_115", name: "Necklace of the Five Sins", requiredItems: ["NECK01_132","NECK01_133","NECK01_134","NECK01_135","NECK01_136"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 116, className: "COLLECT_116", name: "Revelations : Conflict", requiredItems: ["stonetablet01","stonetablet02","stonetablet03"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 117, className: "COLLECT_117", name: "Revelation: The Hidden Side", requiredItems: ["stonetablet04","stonetablet05","stonetablet06"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 118, className: "COLLECT_118", name: "Collection: West Siauliai Woods", requiredItems: ["misc_0001","Hat_628054","misc_0002","leaf_hanaming","misc_0004","misc_0005","misc_infroRocktor2"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 119, className: "COLLECT_119", name: "Collection: East Siauliai Woods", requiredItems: ["misc_0006","misc_chupacabra2","food_Popolion","misc_0008","misc_0009"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 120, className: "COLLECT_120", name: "Collection: Miners' Village", requiredItems: ["misc_0001","misc_0010","misc_0013","BRC01_123"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 121, className: "COLLECT_121", name: "Collection: Crystal Mine 1F", requiredItems: ["food_001","misc_0013","NECK01_123","misc_0119","misc_bat2","misc_0014"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 122, className: "COLLECT_122", name: "Collection: Crystal Mine 2F", requiredItems: ["misc_shredded2","misc_shredded3","misc_0016","misc_0013","misc_0106"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 123, className: "COLLECT_123", name: "Collection: Crystal Mine 3F", requiredItems: ["misc_0015","misc_quartz_weaver3","misc_0013","misc_bubeWarriorBlood"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 124, className: "COLLECT_124", name: "Collection: Srautas Gorge", requiredItems: ["misc_0019","misc_0018","misc_Grummer","HAND02_123","FOOT02_123","LEG02_123","TOP02_123"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 125, className: "COLLECT_125", name: "Collection: Gele Plateau", requiredItems: ["misc_leafly","misc_0018","STF02_101","misc_pantoSword"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 126, className: "COLLECT_126", name: "Collection: Nefritas Cliff", requiredItems: ["misc_puragi","misc_0022","misc_firent2","misc_banshee","misc_banshee3","misc_zigri","misc_humming_bud","Hat_628018"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 127, className: "COLLECT_127", name: "Collection: Tenet Garden", requiredItems: ["misc_seedmia","misc_0018","misc_mallardu","misc_0115"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 128, className: "COLLECT_128", name: "Collection: Veja Ravine", requiredItems: ["misc_Tanu","misc_0112","misc_0113","misc_Doyor2","misc_0035"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 129, className: "COLLECT_129", name: "Collection: Vieta Gorge", requiredItems: ["misc_maize","misc_0037","misc_Ultanun","misc_Rudas_loxodon","misc_Rudas_loxodon2","misc_Rudas_loxodon3"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 130, className: "COLLECT_130", name: "Collection: Cobalt Forest", requiredItems: ["misc_0040","misc_jore02","misc_Caro"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 131, className: "COLLECT_131", name: "Collection: Septyni Glen", requiredItems: ["food_020","misc_Mentiwood","BRC01_127","FOOT01_107"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 132, className: "COLLECT_132", name: "Collection: Tenet Church B1", requiredItems: ["misc_0026","NECK02_103","misc_glizardon","misc_glizardon2"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 133, className: "COLLECT_133", name: "Collection: Tenet Church 1F", requiredItems: ["misc_Corylus","misc_ore08","misc_galok","misc_pawn1","Hat_628051"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 134, className: "COLLECT_134", name: "Collection: Tenet Church 2F", requiredItems: ["misc_0025","misc_egnome2","misc_Spector_Gh","misc_jore05"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 135, className: "COLLECT_135", name: "Collection: Gate Route", requiredItems: ["misc_0043","misc_0122","misc_Velwriggler","misc_0046","food_018","misc_0044"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 136, className: "COLLECT_136", name: "Collection: Sirdgela Forest", requiredItems: ["misc_0045","misc_0102","misc_groll2","misc_0103","misc_0048","misc_0118"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 137, className: "COLLECT_137", name: "Collection: Kvailas Forest", requiredItems: ["misc_0049","misc_0047","misc_Ammon"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 138, className: "COLLECT_138", name: "Collection: Guards Graveyard", requiredItems: ["misc_0071","misc_0135","MAC02_119","SPR02_111","TSW01_106","MAC01_108"], rewardAccountProperties: "", rewardItems: "" },
{ classId: 139, className: "COLLECT_139", name: "Collection: Gateway of the Great King", requiredItems: ["misc_0109","misc_Pino","misc_0055","misc_Geppetto2"], rewardAccountProperties: "", rewardItems: "" },
